,imgSrc,detailUrl,address,addressCity,addressZipcode,beds,baths,price,latitude,longitude,homeType
0,https://photos.zillowstatic.com/fp/23aacb3df5709e99d6798d54d3a178f1-p_e.jpg,https://www.zillow.com/homedetails/6225-Lawrence-Ave-E-Toronto-ON-M1C-5G4/2062402898_zpid/,"6225 Lawrence Ave E, Toronto, ON M1C 5G4",Toronto,M1C5G4,3,4,799900,43.65572,-79.45745,SINGLE_FAMILY
1,https://photos.zillowstatic.com/fp/aec043e534296d385e90356db457b7aa-p_e.jpg,https://www.zillow.com/homedetails/144-Rosemount-Ave-Toronto-ON-M6H-2M9/2062402863_zpid/,"144 Rosemount Ave, Toronto, ON M6H 2M9",Toronto,M6H2M9,3,2,1249000,0,0,SINGLE_FAMILY
2,https://photos.zillowstatic.com/fp/1cd388cbfceb00a0f9a422d02db56744-p_e.jpg,https://www.zillow.com/homedetails/3840-Bathurst-St-702-Toronto-ON-M3H-6C6/2062400716_zpid/,"3840 Bathurst St #702, Toronto, ON M3H 6C6",Toronto,M3H6C6,2,2,699000,43.62386,-79.488945,CONDO
3,https://photos.zillowstatic.com/fp/1f0037527b391093a7e036ca74c53f08-p_e.jpg,https://www.zillow.com/homedetails/8-Littleleaf-Dr-Toronto-ON-M1B-1Z1/2072972648_zpid/,"8 Littleleaf Dr, Toronto, ON M1B 1Z1",Toronto,M1B1Z1,3,3,1149900,43.72315,-79.44823,CONDO
4,https://photos.zillowstatic.com/fp/780ba993641794246fb4be00aa8c5b4a-p_e.jpg,https://www.zillow.com/homedetails/2301-Danforth-Ave-306-Toronto-ON-M4C-0A7/2062397058_zpid/,"2301 Danforth Ave #306, Toronto, ON M4C 0A7",Toronto,M4C0A7,2,2,699000,43.64239,-79.424736,CONDO
5,https://photos.zillowstatic.com/fp/950875d10ea508d8a31563bf14cd388d-p_e.jpg,https://www.zillow.com/homedetails/16-Catalda-Ct-Toronto-ON-M2R-3X5/2062396705_zpid/,"16 Catalda Ct, Toronto, ON M2R 3X5",Toronto,M2R3X5,4,5,2690000,43.641495,-79.41007,CONDO
6,https://photos.zillowstatic.com/fp/e9d5059a0e53928a0c26fbb8c721df54-p_e.jpg,https://www.zillow.com/homedetails/2460-Eglinton-Ave-E-PENTHOUSE-12-Toronto-ON-M1K-5J7/2062401012_zpid/,"2460 Eglinton Ave E PENTHOUSE 12, Toronto, ON M1K 5J7",Toronto,M1K5J7,2,2,829000,43.71802,-79.376884,CONDO
7,https://photos.zillowstatic.com/fp/bcb03884fddd6b05afd77aee61202d79-p_e.jpg,https://www.zillow.com/homedetails/108-Stratford-Cres-Toronto-ON-M4N-1C6/2063141055_zpid/,"108 Stratford Cres, Toronto, ON M4N 1C6",Toronto,M4N1C6,4,7,12895000,0,0,CONDO
8,https://photos.zillowstatic.com/fp/5b2b9c8de91df2c5dd32e7fae8feb13f-p_e.jpg,https://www.zillow.com/homedetails/30-Fifeshire-Rd-Toronto-ON-M2L-2G6/2086917685_zpid/,"30 Fifeshire Rd, Toronto, ON M2L 2G6",Toronto,M2L2G6,9,16,17888000,0,0,CONDO
9,https://photos.zillowstatic.com/fp/1f93c0ad5a8e99ff37ef3287939f111c-p_e.jpg,https://www.zillow.com/homedetails/2-Doerr-Rd-Toronto-ON-M1P-4M6/2071897246_zpid/,"2 Doerr Rd, Toronto, ON M1P 4M6",Toronto,M1P4M6,3,6,1699000,0,0,CONDO
