Full_Address,Bedrooms,Bathrooms,Price,Latitude,Longitude,City_Brampton,City_Markham,City_Mississauga,City_Toronto,City_Vaughan,Home_Type_CONDO,Home_Type_SINGLE_FAMILY,Home_Type_TOWNHOUSE
"6225 Lawrence Ave E, Toronto, ON M1C 5G4",3,4,799900,43.65572,-79.45745,0,0,0,1,0,0,1,0
"3840 Bathurst St #702, Toronto, ON M3H 6C6",2,2,699000,43.62386,-79.488945,0,0,0,1,0,1,0,0
"8 Littleleaf Dr, Toronto, ON M1B 1Z1",3,3,1149900,43.72315,-79.44823,0,0,0,1,0,1,0,0
"2301 Danforth Ave #306, Toronto, ON M4C 0A7",2,2,699000,43.64239,-79.424736,0,0,0,1,0,1,0,0
"16 Catalda Ct, Toronto, ON M2R 3X5",4,5,2690000,43.641495,-79.41007,0,0,0,1,0,1,0,0
"2460 Eglinton Ave E PENTHOUSE 12, Toronto, ON M1K 5J7",2,2,829000,43.71802,-79.376884,0,0,0,1,0,1,0,0
"7 Brimley Rd S #E31, Toronto, ON M1M 3W3",1,1,299999,43.7145,-79.45351,0,0,0,1,0,1,0,0
"17 Caddy Dr, Toronto, ON M1G 2E9",3,2,924900,43.641552,-79.424515,0,0,0,1,0,1,0,0
"441 Jane St #109, Toronto, ON M6S 3Z9",2,2,769000,43.58977,-79.54517,0,0,0,1,0,1,0,0
"121 Forest Heights Blvd, Toronto, ON M2L 2K7",4,6,7288000,43.78004,-79.41268,0,0,0,1,0,1,0,0
"371 Orton Park Rd #90, Toronto, ON M1G 3V1",4,2,649900,43.719334,-79.33631,0,0,0,1,0,1,0,0
"25 Knowlton Dr, Toronto, ON M1M 2G8",3,2,1185000,43.764618,-79.49201,0,0,0,1,0,1,0,0
"4 Princeway Dr, Toronto, ON M1R 2V9",3,2,799000,43.770447,-79.5201,0,0,0,1,0,1,0,0
"2 Lynch Rd, Toronto, ON M2J 2V5",3,2,999000,43.593613,-79.535904,0,0,0,1,0,1,0,0
"50 Sunny Glenway #110, Toronto, ON M3C 2Z2",4,2,750000,43.780964,-79.24979,0,0,0,1,0,1,0,0
"68 Abell St #720, Toronto, ON M6J 0B1",1,1,13275,43.769455,-79.51981,0,0,0,1,0,1,0,0
"88 Harbour St #2405, Toronto, ON M5J 0C3",1,1,689000,43.74851,-79.5059,0,0,0,1,0,1,0,0
"16 Guildpark Ptwy, Toronto, ON M1J 3P1",3,3,849000,43.770447,-79.5201,0,0,0,1,0,1,0,0
"29 Mulock Ave, Toronto, ON M6N 3C3",5,2,999000,43.770447,-79.5201,0,0,0,1,0,1,0,0
"36 Pritchard Ave, Toronto, ON M6N 1T3",4,2,899900,43.74851,-79.5059,0,0,0,1,0,1,0,0
"53 Valley Stream Dr, Toronto, ON M1V 2A4",3,3,988000,43.769455,-79.51981,0,0,0,1,0,1,0,0
"32 Anticosti Dr, Toronto, ON M1J 1V5",3,2,899000,43.70731,-79.465744,0,0,0,1,0,1,0,0
"111 Caroline Ave, Toronto, ON M4M 2X6",3,1,999900,43.643013,-79.406204,0,0,0,1,0,1,0,0
"30 Meadowacres Dr, Toronto, ON M1T 1B2",4,5,2150000,43.64635,-79.39363,0,0,0,1,0,1,0,0
"35 Mervyn Ave, Toronto, ON M9B 1N2",4,2,1299900,43.65096,-79.36789,0,0,0,1,0,1,0,0
"33 Tweedrock Cres, Toronto, ON M1E 4L4",3,3,999999,43.77824,-79.41777,0,0,0,1,0,1,0,0
"103 Lynvalley Cres, Toronto, ON M1R 2V1",3,2,899900,43.648827,-79.3781,0,0,0,1,0,1,0,0
"31 Applefield Dr, Toronto, ON M1P 3Y1",4,2,1099000,43.72163,-79.543816,0,0,0,1,0,1,0,0
"1392 Islington Ave, Toronto, ON M9A 3K7",3,1,999000,43.78311,-79.41517,0,0,0,1,0,1,0,0
"116 Seaton St, Toronto, ON M5A 2T3",4,4,1200000,43.77618,-79.18265,0,0,0,1,0,1,0,0
"106 Tecumseth St, Toronto, ON M6J 2H1",3,2,1298000,43.745888,-79.515816,0,0,0,1,0,1,0,0
"8 Packard Blvd W, Toronto, ON M1P 4K1",4,3,1299000,43.60879,-79.547585,0,0,0,1,0,1,0,0
"302 Montrose Ave, Toronto, ON M6G 3G8",3,3,1149000,43.648827,-79.3781,0,0,0,1,0,1,0,0
"127 Regent Rd, Toronto, ON M3K 1H5",3,3,1289900,43.695618,-79.553856,0,0,0,1,0,1,0,0
"138 Hatherley Rd, Toronto, ON M6E 1W5",3,2,999000,43.79012,-79.3928,0,0,0,1,0,1,0,0
"1 Windal Ave, Toronto, ON M9N 2C2",3,2,1169000,43.638775,-79.41172,0,0,0,1,0,1,0,0
"18 Waterfield Dr, Toronto, ON M1P 3W5",3,2,1390000,43.648827,-79.3781,0,0,0,1,0,1,0,0
"251 Manitoba St #327, Toronto, ON M8Y 0C7",2,2,2900,43.59323,-79.53615,0,0,0,1,0,1,0,0
"119 Curzon St, Toronto, ON M4M 3B3",3,2,1300000,43.733185,-79.26924,0,0,0,1,0,1,0,0
"35 Shadwick Dr, Toronto, ON M9R 2V6",3,4,1499000,43.638138,-79.420845,0,0,0,1,0,1,0,0
"88 N Edgely Ave, Toronto, ON M1K 1T7",3,2,1225000,43.77339,-79.41304,0,0,0,1,0,1,0,0
"10 Eddystone Ave #156, Toronto, ON M3N 2T2",4,2,489900,43.711655,-79.33481,0,0,0,1,0,1,0,0
"15 Stafford St #513, Toronto, ON M5V 3X6",1,1,19650,43.72163,-79.543816,0,0,0,1,0,1,0,0
"25 Markland Dr, Toronto, ON M9C 1M8",4,2,1599000,43.63681,-79.397514,0,0,0,1,0,1,0,0
"7 Hanson Rd, Toronto, ON M6E 1T2",3,2,1274900,43.745888,-79.515816,0,0,0,1,0,1,0,0
"56A Cedar Brae Blvd, Toronto, ON M1J 2K5",4,4,1799000,43.63979,-79.40984,0,0,0,1,0,1,0,0
"7 Brimley Rd S, Toronto, ON M1M 3W3",3,2,1298000,43.661007,-79.36035,0,0,0,1,0,1,0,0
"68 Lesmount Ave, Toronto, ON M4J 3V6",3,2,999000,43.71074,-79.33373,0,0,0,1,0,1,0,0
"19 Woodgarden Cres, Toronto, ON M1E 3K3",2,3,749900,43.767612,-79.512215,0,0,0,1,0,1,0,0
"5 Michael Power Pl #1406, Toronto, ON M9A 0A3",1,1,699900,43.697975,-79.299355,0,0,0,1,0,1,0,0
"779 Willowdale Ave, Toronto, ON M2N 5B5",3,3,1699000,43.643013,-79.406204,0,0,0,1,0,0,0,1
"6 Sonic Way #2403, Toronto, ON M3C 0P1",2,2,599000,43.766026,-79.19796,0,0,0,1,0,0,0,1
"53 Pitt Ave, Toronto, ON M1L 2R3",4,2,609900,43.652912,-79.37035,0,0,0,1,0,1,0,0
"20 Thomas Riley Rd #1104, Toronto, ON M9B 0C3",2,2,719900,43.75324,-79.49093,0,0,0,1,0,1,0,0
"115 McMahon Dr #1511, Toronto, ON M2K 0E3",3,2,1249000,43.749504,-79.517136,0,0,0,1,0,0,0,1
"2179 Dundas St W, Toronto, ON M6R 1X5",5,3,1399000,43.774803,-79.33691,0,0,0,1,0,1,0,0
"21 Willowhurst Cres, Toronto, ON M1R 3R7",3,2,928000,43.68828,-79.41355,0,0,0,1,0,1,0,0
"50 Aileen Ave N, Toronto, ON M6M 1E6",3,2,949000,43.774033,-79.25801,0,0,0,1,0,1,0,0
"117 Estelle Ave, Toronto, ON M2N 5H6",3,2,1799000,43.74747,-79.58333,0,0,0,1,0,1,0,0
"30 Huddleston Ct, Toronto, ON M1L 4L2",3,2,949900,43.654842,-79.38468,0,0,0,1,0,1,0,0
"5 Northtown Way UNIT 1102, Toronto, ON M2N 7A1",2,2,889000,43.749928,-79.26863,0,0,0,1,0,1,0,0
"109 Garden Ave, Toronto, ON M6R 1H8",3,3,2100000,43.72432,-79.30328,0,0,0,1,0,0,0,1
"194 Dawlish Ave, Toronto, ON M4N 1H5",4,4,4600000,43.638134,-79.39147,0,0,0,1,0,1,0,0
"435 Richmond St W #207, Toronto, ON M5V 0N3",2,2,899000,43.79448,-79.31232,0,0,0,1,0,1,0,0
"56 Codsell Ave, Toronto, ON M3H 3V9",4,5,3198000,43.649258,-79.37576,0,0,0,1,0,1,0,0
"17 Trowell Ave, Toronto, ON M6M 1L3",3,4,1758888,43.753036,-79.48941,0,0,0,1,0,0,0,1
"55 Centre Ave #1103, Toronto, ON M5G 2H5",2,2,949900,43.714233,-79.55794,0,0,0,1,0,0,0,1
"20 Winston Ave, Toronto, ON M1N 1W3",2,2,899900,43.640415,-79.56309,0,0,0,1,0,1,0,0
"92 Shelborne Ave, Toronto, ON M5N 1Z3",5,6,2899000,43.71093,-79.32513,0,0,0,1,0,1,0,0
