,Full_Address,Bedrooms,Bathrooms,Price,City,Home_Type,Latitude,Longitude
0,"6225 Lawrence Ave E, Toronto, ON M1C 5G4",3,4,799900,Toronto,SINGLE_FAMILY,43.65572,-79.45745
1,"3840 Bathurst St #702, Toronto, ON M3H 6C6",2,2,699000,Toronto,CONDO,43.62386,-79.488945
2,"8 Littleleaf Dr, Toronto, ON M1B 1Z1",3,3,1149900,Toronto,CONDO,43.72315,-79.44823
3,"2301 Danforth Ave #306, Toronto, ON M4C 0A7",2,2,699000,Toronto,CONDO,43.64239,-79.424736
4,"16 Catalda Ct, Toronto, ON M2R 3X5",4,5,2690000,Toronto,CONDO,43.641495,-79.41007
5,"2460 Eglinton Ave E PENTHOUSE 12, Toronto, ON M1K 5J7",2,2,829000,Toronto,CONDO,43.71802,-79.376884
6,"7 Brimley Rd S #E31, Toronto, ON M1M 3W3",1,1,299999,Toronto,CONDO,43.7145,-79.45351
7,"17 Caddy Dr, Toronto, ON M1G 2E9",3,2,924900,Toronto,CONDO,43.641552,-79.424515
8,"441 Jane St #109, Toronto, ON M6S 3Z9",2,2,769000,Toronto,CONDO,43.58977,-79.54517
9,"121 Forest Heights Blvd, Toronto, ON M2L 2K7",4,6,7288000,Toronto,CONDO,43.78004,-79.41268
10,"371 Orton Park Rd #90, Toronto, ON M1G 3V1",4,2,649900,Toronto,CONDO,43.719334,-79.33631
11,"25 Knowlton Dr, Toronto, ON M1M 2G8",3,2,1185000,Toronto,CONDO,43.764618,-79.49201
12,"4 Princeway Dr, Toronto, ON M1R 2V9",3,2,799000,Toronto,CONDO,43.770447,-79.5201
13,"2 Lynch Rd, Toronto, ON M2J 2V5",3,2,999000,Toronto,CONDO,43.593613,-79.535904
14,"50 Sunny Glenway #110, Toronto, ON M3C 2Z2",4,2,750000,Toronto,CONDO,43.780964,-79.24979
15,"68 Abell St #720, Toronto, ON M6J 0B1",1,1,13275,Toronto,CONDO,43.769455,-79.51981
16,"88 Harbour St #2405, Toronto, ON M5J 0C3",1,1,689000,Toronto,CONDO,43.74851,-79.5059
17,"16 Guildpark Ptwy, Toronto, ON M1J 3P1",3,3,849000,Toronto,CONDO,43.770447,-79.5201
18,"29 Mulock Ave, Toronto, ON M6N 3C3",5,2,999000,Toronto,CONDO,43.770447,-79.5201
19,"36 Pritchard Ave, Toronto, ON M6N 1T3",4,2,899900,Toronto,CONDO,43.74851,-79.5059
20,"53 Valley Stream Dr, Toronto, ON M1V 2A4",3,3,988000,Toronto,CONDO,43.769455,-79.51981
21,"32 Anticosti Dr, Toronto, ON M1J 1V5",3,2,899000,Toronto,CONDO,43.70731,-79.465744
22,"111 Caroline Ave, Toronto, ON M4M 2X6",3,1,999900,Toronto,CONDO,43.643013,-79.406204
23,"30 Meadowacres Dr, Toronto, ON M1T 1B2",4,5,2150000,Toronto,CONDO,43.64635,-79.39363
24,"35 Mervyn Ave, Toronto, ON M9B 1N2",4,2,1299900,Toronto,CONDO,43.65096,-79.36789
25,"33 Tweedrock Cres, Toronto, ON M1E 4L4",3,3,999999,Toronto,CONDO,43.77824,-79.41777
26,"103 Lynvalley Cres, Toronto, ON M1R 2V1",3,2,899900,Toronto,CONDO,43.648827,-79.3781
27,"31 Applefield Dr, Toronto, ON M1P 3Y1",4,2,1099000,Toronto,CONDO,43.72163,-79.543816
28,"1392 Islington Ave, Toronto, ON M9A 3K7",3,1,999000,Toronto,CONDO,43.78311,-79.41517
29,"116 Seaton St, Toronto, ON M5A 2T3",4,4,1200000,Toronto,CONDO,43.77618,-79.18265
30,"106 Tecumseth St, Toronto, ON M6J 2H1",3,2,1298000,Toronto,CONDO,43.745888,-79.515816
31,"8 Packard Blvd W, Toronto, ON M1P 4K1",4,3,1299000,Toronto,CONDO,43.60879,-79.547585
32,"302 Montrose Ave, Toronto, ON M6G 3G8",3,3,1149000,Toronto,CONDO,43.648827,-79.3781
33,"127 Regent Rd, Toronto, ON M3K 1H5",3,3,1289900,Toronto,CONDO,43.695618,-79.553856
34,"138 Hatherley Rd, Toronto, ON M6E 1W5",3,2,999000,Toronto,CONDO,43.79012,-79.3928
35,"1 Windal Ave, Toronto, ON M9N 2C2",3,2,1169000,Toronto,CONDO,43.638775,-79.41172
36,"18 Waterfield Dr, Toronto, ON M1P 3W5",3,2,1390000,Toronto,CONDO,43.648827,-79.3781
37,"251 Manitoba St #327, Toronto, ON M8Y 0C7",2,2,2900,Toronto,CONDO,43.59323,-79.53615
38,"119 Curzon St, Toronto, ON M4M 3B3",3,2,1300000,Toronto,CONDO,43.733185,-79.26924
39,"35 Shadwick Dr, Toronto, ON M9R 2V6",3,4,1499000,Toronto,CONDO,43.638138,-79.420845
40,"88 N Edgely Ave, Toronto, ON M1K 1T7",3,2,1225000,Toronto,CONDO,43.77339,-79.41304
41,"10 Eddystone Ave #156, Toronto, ON M3N 2T2",4,2,489900,Toronto,CONDO,43.711655,-79.33481
42,"15 Stafford St #513, Toronto, ON M5V 3X6",1,1,19650,Toronto,CONDO,43.72163,-79.543816
43,"25 Markland Dr, Toronto, ON M9C 1M8",4,2,1599000,Toronto,CONDO,43.63681,-79.397514
44,"7 Hanson Rd, Toronto, ON M6E 1T2",3,2,1274900,Toronto,CONDO,43.745888,-79.515816
45,"56A Cedar Brae Blvd, Toronto, ON M1J 2K5",4,4,1799000,Toronto,CONDO,43.63979,-79.40984
46,"7 Brimley Rd S, Toronto, ON M1M 3W3",3,2,1298000,Toronto,CONDO,43.661007,-79.36035
47,"68 Lesmount Ave, Toronto, ON M4J 3V6",3,2,999000,Toronto,CONDO,43.71074,-79.33373
48,"19 Woodgarden Cres, Toronto, ON M1E 3K3",2,3,749900,Toronto,CONDO,43.767612,-79.512215
49,"5 Michael Power Pl #1406, Toronto, ON M9A 0A3",1,1,699900,Toronto,CONDO,43.697975,-79.299355
50,"779 Willowdale Ave, Toronto, ON M2N 5B5",3,3,1699000,Toronto,TOWNHOUSE,43.643013,-79.406204
51,"6 Sonic Way #2403, Toronto, ON M3C 0P1",2,2,599000,Toronto,TOWNHOUSE,43.766026,-79.19796
52,"53 Pitt Ave, Toronto, ON M1L 2R3",4,2,609900,Toronto,CONDO,43.652912,-79.37035
53,"20 Thomas Riley Rd #1104, Toronto, ON M9B 0C3",2,2,719900,Toronto,CONDO,43.75324,-79.49093
54,"115 McMahon Dr #1511, Toronto, ON M2K 0E3",3,2,1249000,Toronto,TOWNHOUSE,43.749504,-79.517136
55,"2179 Dundas St W, Toronto, ON M6R 1X5",5,3,1399000,Toronto,CONDO,43.774803,-79.33691
56,"21 Willowhurst Cres, Toronto, ON M1R 3R7",3,2,928000,Toronto,CONDO,43.68828,-79.41355
57,"50 Aileen Ave N, Toronto, ON M6M 1E6",3,2,949000,Toronto,CONDO,43.774033,-79.25801
58,"117 Estelle Ave, Toronto, ON M2N 5H6",3,2,1799000,Toronto,CONDO,43.74747,-79.58333
59,"30 Huddleston Ct, Toronto, ON M1L 4L2",3,2,949900,Toronto,CONDO,43.654842,-79.38468
60,"5 Northtown Way UNIT 1102, Toronto, ON M2N 7A1",2,2,889000,Toronto,CONDO,43.749928,-79.26863
61,"109 Garden Ave, Toronto, ON M6R 1H8",3,3,2100000,Toronto,TOWNHOUSE,43.72432,-79.30328
62,"194 Dawlish Ave, Toronto, ON M4N 1H5",4,4,4600000,Toronto,CONDO,43.638134,-79.39147
63,"435 Richmond St W #207, Toronto, ON M5V 0N3",2,2,899000,Toronto,CONDO,43.79448,-79.31232
64,"56 Codsell Ave, Toronto, ON M3H 3V9",4,5,3198000,Toronto,CONDO,43.649258,-79.37576
65,"17 Trowell Ave, Toronto, ON M6M 1L3",3,4,1758888,Toronto,TOWNHOUSE,43.753036,-79.48941
66,"55 Centre Ave #1103, Toronto, ON M5G 2H5",2,2,949900,Toronto,TOWNHOUSE,43.714233,-79.55794
67,"20 Winston Ave, Toronto, ON M1N 1W3",2,2,899900,Toronto,CONDO,43.640415,-79.56309
68,"92 Shelborne Ave, Toronto, ON M5N 1Z3",5,6,2899000,Toronto,CONDO,43.71093,-79.32513
69,"43 Flagman St, Toronto, ON M4E 3X6",4,4,1759000,Toronto,CONDO,43.637733,-79.48798
70,"52 Whitley Ave, Toronto, ON M3K 1A2",3,2,1199000,Toronto,CONDO,43.681126,-79.332436
71,"17 Fordover Dr, Toronto, ON M1E 1T7",3,2,1150000,Toronto,CONDO,43.654713,-79.3792
72,"957 Danforth Rd, Toronto, ON M1K 1J2",3,2,999900,Toronto,CONDO,43.73658,-79.257835
73,"36 Woodrow Ave, Toronto, ON M4C 5S2",3,4,1300000,Toronto,CONDO,43.640327,-79.56238
74,"27 Brooklyn Ave, Toronto, ON M4M 2X4",3,3,1999000,Toronto,CONDO,43.637733,-79.48798
75,"18 Concorde Pl PENTHOUSE 3, Toronto, ON M3C 3T9",2,2,1199000,Toronto,CONDO,43.645473,-79.39232
76,"146 Tecumseth St, Toronto, ON M6J 2H4",3,2,1450000,Toronto,CONDO,43.714245,-79.45384
77,"49 Dryden Way, Toronto, ON M9R 0B2",3,3,1229000,Toronto,CONDO,43.634823,-79.40156
78,"54 Glenview Ave, Toronto, ON M4R 1P6",4,4,3995000,Toronto,CONDO,43.64718,-79.39106
79,"3077 Weston Rd #1501, Toronto, ON M9M 3A1",1,1,498888,Toronto,CONDO,43.640327,-79.56238
80,"196 Fern Ave, Toronto, ON M6R 1K4",4,2,999900,Toronto,CONDO,43.797565,-79.31985
81,"350 Brooke Ave, Toronto, ON M5M 2L3",5,5,5095000,Toronto,TOWNHOUSE,43.75267,-79.5151
82,"490 Markham St, Toronto, ON M6G 2L3",4,3,2349000,Toronto,CONDO,43.750698,-79.46505
83,"98 Kendal Ave, Toronto, ON M5R 1L9",5,6,4999000,Toronto,CONDO,43.804848,-79.21674
84,"47 Tommy Douglas Gdns, Toronto, ON M6B 4N3",3,3,1299900,Toronto,CONDO,43.710346,-79.39317
85,"85 Garnier Ct, Toronto, ON M2M 4C8",4,4,2865000,Toronto,CONDO,43.661106,-79.37658
86,"16 Jersey Ave, Toronto, ON M6G 3A3",3,3,1099000,Toronto,CONDO,43.813545,-79.32216
87,"24 A Cedar Brae Blvd, Toronto, ON M1J 2K3",3,2,1190088,Toronto,TOWNHOUSE,43.73627,-79.47671
88,"5 Greystone Walk Dr #906, Toronto, ON M1K 5J5",2,1,569900,Toronto,CONDO,43.72208,-79.543945
89,"625 The West Mall PENTHOUSE 5, Toronto, ON M9C 4W9",3,2,729999,Toronto,CONDO,43.814484,-79.325325
90,"214 Winona Dr, Toronto, ON M6C 3S2",3,4,1789000,Toronto,SINGLE_FAMILY,43.678783,-79.49515
91,"8 Delia Ct, Toronto, ON M3H 3G8",3,3,1999900,Toronto,TOWNHOUSE,43.787228,-79.19468
92,"500 Saint Clair Ave W #709, Toronto, ON M6C 1A8",1,1,648000,Toronto,CONDO,43.72016,-79.33666
93,"56 Brampton Rd, Toronto, ON M9R 3J7",2,2,1298888,Toronto,SINGLE_FAMILY,43.69384,-79.44214
94,"481 Guildwood Pkwy, Toronto, ON M1E 1R3",4,6,4788000,Toronto,CONDO,43.733253,-79.446014
95,"2150 Bayview Ave, Toronto, ON M4N 0A4",3,3,1299000,Toronto,CONDO,43.601597,-79.510155
96,"1830 Bloor St W #712, Toronto, ON M6P 0A2",2,2,1265000,Toronto,CONDO,43.652245,-79.37764
97,"15 Vicora Linkway #915, Toronto, ON M3C 1A9",2,1,539900,Toronto,CONDO,43.732376,-79.53698
98,"162 Oakridge Dr, Toronto, ON M1M 2A8",2,2,1175000,Toronto,CONDO,43.66115,-79.38163
99,"53 Guestville Ave, Toronto, ON M6N 4N4",2,2,649900,Toronto,CONDO,43.636406,-79.466064
