no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
1,7161 Yonge St #B361,L3T0C8,Markham,43.82143,-79.4267,38000,0,0,CONDO
2,100 Anna Russell Way #110,L3R6C7,Markham,43.862743,-79.31357,488000,2,2,CONDO
3,10 Westmeath Ln #2216,L6B1N5,Markham,43.8794,-79.228165,495000,1,1,TOWNHOUSE
4,7805 Bayview Ave #326,L3T7N1,Markham,,,499000,2,1,CONDO
5,100 Anna Russell Way PENTHOUSE 8,L3R6C7,Markham,43.862743,-79.31357,530000,2,2,CONDO
6,50 Clegg Rd #1122,L6G0C6,Markham,43.852333,-79.33918,559000,1,1,CONDO
7,55 Austin Dr #214,L3R8H5,Markham,43.86662,-79.29439,569000,1,1,CONDO
8,80 Inverlochy Blvd #206,L3T4P3,Markham,43.821884,-79.42435,579900,2,2,CONDO
9,180 Dudley Ave #601,L3T4X2,Markham,43.81295,-79.42189,588000,2,3,CONDO
10,7161 Yonge St #1935,L3T0C8,Markham,43.82143,-79.4267,588000,1,1,CONDO
11,9582 Markham Rd #1101,L6E0T4,Markham,43.898975,-79.266235,599999,1,1,CONDO
12,9500 Markham Rd #1909,L6E0N6,Markham,43.896366,-79.26564,618000,1,1,CONDO
13,48 Suncrest Blvd UNIT 715,L3T7Y5,Markham,43.841293,-79.39384,629000,1,1,CONDO
14,9582 Markham Rd #1202,L6E0T4,Markham,43.898975,-79.266235,638000,1,1,CONDO
15,2265 Bur Oak Ave #52,L6E0B8,Markham,43.91897,-79.248764,638000,1,1,TOWNHOUSE
16,37 Galleria Pkwy #711,L3T0A5,Markham,43.839363,-79.39388,645000,1,1,CONDO
17,57 Upper Duke Cres #503,L6G0B9,Markham,43.85166,-79.32646,649000,1,1,CONDO
18,50 Clegg Rd #308,L6G0C6,Markham,43.852333,-79.33918,649000,1,1,CONDO
19,9 Royal Orchard Blvd,L3T3C2,Markham,43.82261,-79.42471,657000,0,0,SINGLE_FAMILY
20,8323 Kennedy Rd UNIT 528,L3R5W7,Markham,43.856182,-79.3456,658000,1,1,CONDO
21,7811 Yonge St PENTHOUSE 11,L3T4S3,Markham,43.8185,-79.4246,658888,2,1,CONDO
22,86 Sunrise Dr #35,L3R1A1,Markham,43.827835,-79.3139,659000,2,2,TOWNHOUSE
23,39 Galleria Pkwy #609,L3T0A6,Markham,43.8394,-79.3928,660000,1,1,CONDO
24,9582 Markham Rd #203,L6E0T4,Markham,,,665000,2,2,CONDO
25,540 Bur Oak Ave #701,L6C0Y2,Markham,43.89477,-79.292854,668000,2,2,CONDO
26,9500 Markham Rd #302,L6E0N6,Markham,43.896366,-79.26564,669900,2,1,CONDO
27,9500 Markham Rd #811,L6E0N6,Markham,43.896366,-79.26564,675000,1,1,CONDO
28,233 S Park Rd #RG8,L3T0B3,Markham,43.83821,-79.39244,678888,1,1,CONDO
29,37 Galleria Pkwy #801,L3T0A5,Markham,43.839363,-79.39388,680000,1,1,CONDO
30,9506 Markham Rd #1907,L6E0S5,Markham,43.89747,-79.2659,689000,1,1,CONDO
31,1 Grandview Blvd #607,L3P1E9,Markham,43.877,-79.26731,689900,1,1,CONDO
32,7165 Yonge St #317,L3T0C9,Markham,43.8259,-79.4198,698000,1,1,CONDO
33,7161 Yonge St #1527,L3T0C8,Markham,43.82143,-79.4267,698800,1,1,CONDO
34,2100 John St #315,L3T7S6,Markham,,,698888,2,2,CONDO
35,278 Buchanan Dr #328E,L3R6J1,Markham,43.85857,-79.32518,698900,2,1,CONDO
36,39 New Delhi Dr #814,L3S0E1,Markham,43.84816,-79.25125,699000,2,3,CONDO
37,273 S Park Rd #611,L3T0B5,Markham,43.8376,-79.39116,699000,1,1,CONDO
38,1788 John St,L3T1Y9,Markham,43.821415,-79.3799,699000,2,3,TOWNHOUSE
39,7768 Kennedy Rd #204,L3R5K1,Markham,43.84375,-79.354,699000,2,2,CONDO
40,22 Gordon Way,L3T5A2,Markham,43.818752,-79.39869,699000,2,3,TOWNHOUSE
41,38 Cedarland Dr #C306,L6G0G7,Markham,43.851887,-79.336296,699000,2,1,CONDO
42,55 Austin Dr #204,L3R8H5,Markham,43.86662,-79.29439,699800,2,2,CONDO
43,192 Louisbourg Way,L6E0C2,Markham,43.92,-79.2541,699980,3,2,TOWNHOUSE
44,55 Austin Dr #710,L3R8H5,Markham,43.86662,-79.29439,710000,2,1,CONDO
45,325 S Park Rd #1002,L3T0B3,Markham,43.838284,-79.3935,718000,1,1,CONDO
46,50 Inverlochy Blvd #201,L3T4T6,Markham,43.8259,-79.4238,719000,2,3,CONDO
47,25 Water Walk Dr #216,L6G0G3,Markham,43.856445,-79.32822,728000,2,1,CONDO
48,135 Pond Dr #906,L3T7V6,Markham,,,738000,2,2,CONDO
49,399 S Park Rd #507,L3T7W6,Markham,43.839153,-79.3859,738800,2,2,CONDO
50,30 Clegg Rd #202,L6G0B4,Markham,43.852978,-79.336845,739000,2,2,CONDO
51,25 Water Walk Dr #315,L6G0G3,Markham,,,749000,2,2,CONDO
52,58 Adam Sellers St #513,L6B1P5,Markham,43.88261,-79.22572,749000,2,2,CONDO
53,58 Adam Sellers St #404,L6B1P5,Markham,43.88261,-79.22572,749000,2,1,CONDO
