no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
0,650 Atwater Ave #P-74,L5G0B6,Mississauga,43.57386,-79.5736,45000,0,0,CONDO
1,3233 Derry Rd E #23,L4T1A8,Mississauga,43.7923,-79.63737,199900,1,2,MANUFACTURED
2,4080 Living Arts Dr,L5B4N3,Mississauga,43.587646,-79.64567,415000,1,2,CONDO
3,3120 Kirwin Ave #210,L5A3R2,Mississauga,43.5859,-79.61685,449000,1,1,CONDO
4,101 Bristol Rd E #229,L4Z3P4,Mississauga,43.61652,-79.66285,449000,1,1,TOWNHOUSE
5,4635 Regents Ter #17,L5R1X4,Mississauga,43.63477,-79.65519,459500,3,3,TOWNHOUSE
6,3504 Hurontario St #1709,L5B0B9,Mississauga,43.589622,-79.6324,469900,2,3,CONDO
7,3233 Derry Rd E #21,L4T1A8,Mississauga,,,479999,3,3,MANUFACTURED
8,2485 Woking Cres #401,L5K1Z6,Mississauga,43.525185,-79.66764,488000,1,3,CONDO
9,1333 Bloor St #518,L4Y3T6,Mississauga,43.616154,-79.59662,489000,1,1,CONDO
10,6720 Glen Erin Dr #1002,L5N3K8,Mississauga,,,495000,1,1,CONDO
11,4080 Living Arts Dr S #2111,L5B4N3,Mississauga,43.587646,-79.64567,495000,2,3,CONDO
12,2542 Argyle Rd PENTHOUSE 5,L5B2H5,Mississauga,43.57362,-79.6246,499000,2,2,CONDO
13,1000 Cedarglen Gate #521,L5C3Z5,Mississauga,43.558533,-79.63813,499000,1,2,TOWNHOUSE
14,530 Lolita Gdns UNIT 1202,L5A3T2,Mississauga,43.59234,-79.6532,499000,1,2,CONDO
15,3065 Lenester Dr #8,L5C2B8,Mississauga,43.55581,-79.6471,499000,2,3,TOWNHOUSE
16,1300 Bloor St #102,L4Y3Z2,Mississauga,43.615368,-79.59516,499000,1,2,CONDO
17,50 Absolute Ave #1604,L4Z0A8,Mississauga,43.594936,-79.63575,499900,1,1,CONDO
18,3025 Queen Frederica Dr #803,L4Y3A1,Mississauga,43.67628,-79.58673,499900,2,3,CONDO
19,49 Queen St E #400,L5G4N6,Mississauga,43.55526,-79.58774,499900,2,3,CONDO
20,530 Lolita Gdns #1511,L5A3T2,Mississauga,43.59234,-79.6532,535000,1,2,CONDO
21,6720 Glen Erin Dr #911,L5N3K8,Mississauga,43.585938,-79.759995,565000,1,2,CONDO
22,225 Webb Dr #2004,L5B4P2,Mississauga,43.587677,-79.63995,569000,1,1,CONDO
23,3025 Queen Frederica Dr #907,L4Y3A1,Mississauga,43.67628,-79.58673,569900,2,3,CONDO
24,1275 Cornerbrook Pl #301,L5C3J3,Mississauga,43.55345,-79.64666,569900,2,2,CONDO
25,1660 Bloor St E #406,L4X1R9,Mississauga,43.621662,-79.58777,569900,2,3,CONDO
26,2323 Confederation Pkwy #506,L5B1R6,Mississauga,43.5731,-79.61176,574750,2,3,CONDO
27,225 Webb Dr #604,L5B4P2,Mississauga,,,574900,2,1,CONDO
28,339 Rathburn Rd W #302,L5B0K6,Mississauga,43.5922,-79.652695,579990,1,1,CONDO
29,1359 Rathburn Rd E #906,L4W5P7,Mississauga,43.625916,-79.6839,580000,1,1,CONDO
30,310 Burnhamthorpe Rd W #1608,L5B4P9,Mississauga,43.5866,-79.642265,587000,1,1,CONDO
31,200 Burnhamthorpe Rd E #1603,L5A4L4,Mississauga,43.597424,-79.62989,588000,2,2,CONDO
32,3040 Constitution Blvd #133,L4Y3X7,Mississauga,43.6314,-79.591934,589900,1,3,TOWNHOUSE
33,1050 Stainton Dr #211,L5C2T7,Mississauga,43.558952,-79.64388,589900,2,3,CONDO
34,3060 Constitution Blvd #239,L4Y3X8,Mississauga,43.62448,-79.59369,594900,1,3,TOWNHOUSE
35,5650 Winston Churchill Blvd #86,L5M0L8,Mississauga,,,597000,1,1,TOWNHOUSE
36,550 Webb Dr #2206,L5B3Y4,Mississauga,43.581154,-79.64562,599000,1,2,CONDO
37,3055 Tomken Rd #333,L4Y3X9,Mississauga,43.6164,-79.59433,599000,2,2,TOWNHOUSE
38,3060 Constitution Blvd #258,L4Y3X8,Mississauga,43.62448,-79.59369,599000,2,3,TOWNHOUSE
39,2095 Roche Ct #162,L5K2C8,Mississauga,43.527634,-79.647644,599888,2,3,TOWNHOUSE
40,3700 Kaneff Cres #512,L5A4B8,Mississauga,43.594486,-79.632355,599900,2,3,CONDO
41,250 Webb Dr #206,L5B3Z4,Mississauga,43.58723,-79.63921,599900,2,2,CONDO
42,1580 Mississauga Valley Blvd #1210,L5A3T8,Mississauga,43.591537,-79.62782,599999,2,3,CONDO
43,335 Rathburn Rd W #301,L5B0C8,Mississauga,43.58961,-79.652374,614990,1,1,CONDO
44,1055 A Forestwood Dr #111,L5C2T8,Mississauga,43.559994,-79.64526,615000,3,3,TOWNHOUSE
45,85 Bristol Rd E #160,L4Z3P3,Mississauga,43.616924,-79.664566,649000,1,3,TOWNHOUSE
46,4699 Glen Erin Dr #608,L5M2E5,Mississauga,,,649900,2,1,CONDO
47,2900 Battleford Rd #710,L5N2V9,Mississauga,43.57947,-79.757484,649900,1,3,CONDO
48,2001 Bonnymede Dr #141,L5J4H8,Mississauga,43.59575,-79.62594,649900,3,3,CONDO
49,1300 Mississauga Valley Blvd #1401,L5A3S8,Mississauga,43.599754,-79.627174,649900,2,2,CONDO
50,223 Webb Dr #2907,L5B0E8,Mississauga,43.588356,-79.63952,649900,2,1,CONDO
51,339 Rathburn Rd W #1809,L5B0K6,Mississauga,43.5922,-79.652695,649900,1,1,CONDO
52,2701 Aquitaine Ave #77,L5N2H7,Mississauga,43.588787,-79.758385,649900,2,3,TOWNHOUSE
53,7430 Copenhagen Rd #35,L5N2C4,Mississauga,,,649999,2,3,TOWNHOUSE
54,180 Mississauga Valley Blvd #89,L5A3M2,Mississauga,43.5863,-79.62244,650000,2,4,TOWNHOUSE
55,5033 Four Springs Ave #413,L5R0G6,Mississauga,43.66617,-79.65589,659900,1,1,CONDO
56,2560 Eglinton Ave W #1806,L5M0Y3,Mississauga,43.55716,-79.7712,675000,1,1,CONDO
57,570 Lolita Gdns #239,L5A0A1,Mississauga,43.592716,-79.6415,679000,2,2,CONDO
58,2560 Eglinton Ave W #2307,L5M0Y3,Mississauga,43.55716,-79.7712,685000,1,1,CONDO
59,200 Robert Speck Pkwy PENTHOUSE 1,L4Z1S3,Mississauga,,,688888,3,2,CONDO
60,3170 Erin Mills Pkwy #203,L5L0B6,Mississauga,,,688900,2,1,CONDO
61,1330 Mississauga Valley Blvd #25,L5A3T1,Mississauga,43.59781,-79.62766,695000,2,4,TOWNHOUSE
62,3939 Duke Of York Blvd #2307,L5B4N2,Mississauga,,,699000,2,2,CONDO
63,81 Armdale Rd #34,L4Z0C7,Mississauga,,,699000,2,2,TOWNHOUSE
64,5670 Cortina Cres,L4Z3R4,Mississauga,43.61877,-79.66414,699888,4,3,SINGLE_FAMILY
65,7475 Goreway Dr #58,L4T3T3,Mississauga,43.723488,-79.64342,699900,3,3,TOWNHOUSE
66,6797 Formentera Ave #76,L5N2L6,Mississauga,43.586555,-79.76223,699900,1,3,TOWNHOUSE
67,4085 Parkside Village Dr #2207,L5B0K9,Mississauga,43.5868,-79.64853,699900,2,2,CONDO
68,7707 Darcel Ave #23,L4T3W9,Mississauga,43.731567,-79.63459,699900,3,3,TOWNHOUSE
69,335 Webb Dr #710,L5B4A1,Mississauga,43.58618,-79.64196,699990,2,2,CONDO
70,208 Enfield Pl #607,L5B0G8,Mississauga,43.591915,-79.63436,719800,1,1,CONDO
71,525 Meadows Blvd #56,L4Z1H2,Mississauga,43.61653,-79.6341,719900,2,3,TOWNHOUSE
