listing image,listing url,full address,zipcode,latitude,longitude
https://photos.zillowstatic.com/fp/23aacb3df5709e99d6798d54d3a178f1-p_e.jpg,https://www.zillow.com/homedetails/6225-Lawrence-Ave-E-Toronto-ON-M1C-5G4/2062402898_zpid/,"6225 Lawrence Ave E, Toronto, ON M1C 5G4",M1C5G4,43.65572,-79.45745
https://photos.zillowstatic.com/fp/1cd388cbfceb00a0f9a422d02db56744-p_e.jpg,https://www.zillow.com/homedetails/3840-Bathurst-St-702-Toronto-ON-M3H-6C6/2062400716_zpid/,"3840 Bathurst St #702, Toronto, ON M3H 6C6",M3H6C6,43.62386,-79.488945
https://photos.zillowstatic.com/fp/1f0037527b391093a7e036ca74c53f08-p_e.jpg,https://www.zillow.com/homedetails/8-Littleleaf-Dr-Toronto-ON-M1B-1Z1/2072972648_zpid/,"8 Littleleaf Dr, Toronto, ON M1B 1Z1",M1B1Z1,43.72315,-79.44823
https://photos.zillowstatic.com/fp/780ba993641794246fb4be00aa8c5b4a-p_e.jpg,https://www.zillow.com/homedetails/2301-Danforth-Ave-306-Toronto-ON-M4C-0A7/2062397058_zpid/,"2301 Danforth Ave #306, Toronto, ON M4C 0A7",M4C0A7,43.64239,-79.424736
https://photos.zillowstatic.com/fp/950875d10ea508d8a31563bf14cd388d-p_e.jpg,https://www.zillow.com/homedetails/16-Catalda-Ct-Toronto-ON-M2R-3X5/2062396705_zpid/,"16 Catalda Ct, Toronto, ON M2R 3X5",M2R3X5,43.641495,-79.41007
https://photos.zillowstatic.com/fp/e9d5059a0e53928a0c26fbb8c721df54-p_e.jpg,https://www.zillow.com/homedetails/2460-Eglinton-Ave-E-PENTHOUSE-12-Toronto-ON-M1K-5J7/2062401012_zpid/,"2460 Eglinton Ave E PENTHOUSE 12, Toronto, ON M1K 5J7",M1K5J7,43.71802,-79.376884
https://photos.zillowstatic.com/fp/738f0093a9ebd540483521254f60d911-p_e.jpg,https://www.zillow.com/homedetails/7-Brimley-Rd-S-E31-Toronto-ON-M1M-3W3/2069399915_zpid/,"7 Brimley Rd S #E31, Toronto, ON M1M 3W3",M1M3W3,43.7145,-79.45351
https://photos.zillowstatic.com/fp/f886851510b063a88922a2881f462f00-p_e.jpg,https://www.zillow.com/homedetails/17-Caddy-Dr-Toronto-ON-M1G-2E9/2062399036_zpid/,"17 Caddy Dr, Toronto, ON M1G 2E9",M1G2E9,43.641552,-79.424515
https://photos.zillowstatic.com/fp/2526282e0ca6f5d0263157790980c45b-p_e.jpg,https://www.zillow.com/homedetails/441-Jane-St-109-Toronto-ON-M6S-3Z9/2062398894_zpid/,"441 Jane St #109, Toronto, ON M6S 3Z9",M6S3Z9,43.58977,-79.54517
https://photos.zillowstatic.com/fp/79fe2faa6e0946fabe166e538e04d06d-p_e.jpg,https://www.zillow.com/homedetails/121-Forest-Heights-Blvd-Toronto-ON-M2L-2K7/2063164499_zpid/,"121 Forest Heights Blvd, Toronto, ON M2L 2K7",M2L2K7,43.78004,-79.41268
