no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
1,7 Yvonne Ave,M3L1C6,Toronto,,,999,3,3,SINGLE_FAMILY
2,251 Manitoba St #327,M8Y0C7,Toronto,43.62386,-79.488945,2900,2,2,CONDO
3,160 Flemington Rd,M6A2N9,Toronto,43.72315,-79.44823,5500,0,0,CONDO
4,68 Abell St #720,M6J0B1,Toronto,43.64239,-79.424736,13275,1,1,CONDO
5,15 Stafford St #513,M5V3X6,Toronto,43.641495,-79.417,19650,1,1,CONDO
6,20 Burkebrook Pl,M4G0A1,Toronto,43.7182,-79.376884,20000,0,0,CONDO
7,18 William Carson Cres #B-84,M2P2G6,Toronto,,,22000,0,0,CONDO
8,28 William Carson Cres #B-38,M2P2H1,Toronto,,,22000,0,0,CONDO
9,2 Eva Rd #P2-79,M9C0A9,Toronto,,,35000,0,0,CONDO
10,800 Lawrence Ave W #P3-63,M6A0B1,Toronto,43.7145,-79.45351,38888,0,0,CONDO
11,170 Sudbury St #2,M6J0A1,Toronto,43.641552,-79.424515,50000,0,0,CONDO
12,3865 Lake Shore Blvd W #P3-61,M8W0A2,Toronto,43.58977,-79.54517,60000,0,0,CONDO
13,35 Finch Ave E #C17,M2N6Z8,Toronto,43.784,-79.41268,65000,0,0,CONDO
14,2 Sonic Way #29,M3C0P2,Toronto,43.719334,-79.33631,75000,0,0,CONDO
15,36 Blue Jays Way #P3-32,M5V3T3,Toronto,,,82000,0,0,CONDO
16,1 Four Winds Dr #1002,M3J2T1,Toronto,43.764618,-79.4921,142900,1,2,CONDO
17,4673 Jane St #810,M3N2L1,Toronto,43.77447,-79.521,225000,1,1,CONDO
18,3621 Lake Shore Blvd W #110,M8W4W1,Toronto,43.593613,-79.53594,229000,1,1,CONDO
19,88 Corporate Dr #705,M1H3G6,Toronto,43.78964,-79.24979,249900,2,2,CONDO
20,4645 Jane St #336,M3N2K9,Toronto,43.769455,-79.51981,270000,1,2,CONDO
21,235 Grandravine Dr #1412,M3N1J2,Toronto,43.74851,-79.559,285000,1,1,CONDO
22,4673 Jane St UNIT 618,M3N2L1,Toronto,43.77447,-79.521,295000,1,2,CONDO
23,4673 Jane St #713,M3N2L1,Toronto,43.77447,-79.521,298000,1,2,CONDO
24,7 Brimley Rd S #E31,M1M3W3,Toronto,43.76276,-79.231865,299999,1,1,TOWNHOUSE
25,235 Grandravine Dr #410,M3N1J2,Toronto,43.74851,-79.559,317000,1,2,CONDO
26,235 Grandravine Dr #402,M3N1J2,Toronto,,,317000,1,2,APARTMENT
27,4645 Jane St #909,M3N2K9,Toronto,43.769455,-79.51981,320000,1,2,CONDO
28,200 Lotherton Ptwy #503,M6B2G9,Toronto,43.7731,-79.465744,329700,1,2,CONDO
29,775 King St W #233,M5V2K3,Toronto,43.64313,-79.4624,330000,0,0,CONDO
30,11 Charlotte St #1401,M5V0M6,Toronto,43.64635,-79.39363,330000,1,1,CONDO
31,37 Sherbourne St #304,M5A2P6,Toronto,43.6596,-79.36789,330000,1,2,CONDO
32,503 Beecroft Rd #306,M2N0A2,Toronto,43.77824,-79.41777,339900,1,3,CONDO
33,4060 Lawrence Ave E #103,M1E4V4,Toronto,,,349900,1,2,CONDO
34,65 Liberty St #608,M6K1Y4,Toronto,43.637943,-79.42186,360000,1,2,CONDO
35,1 King St W UNIT 1808,M5H1A1,Toronto,43.648827,-79.3781,368000,1,0,CONDO
36,234 Albion Rd #610,M9W6A5,Toronto,43.72163,-79.543816,374900,2,3,CONDO
37,5765 Yonge St PENTHOUSE 407,M2M4H9,Toronto,43.78311,-79.41517,375000,2,3,CONDO
38,50 Old Kingston Rd #2104,M1E4Y1,Toronto,43.77618,-79.18265,378800,1,2,CONDO
39,5 Frith Rd #412,M3N2L5,Toronto,43.745888,-79.515816,398000,1,1,CONDO
40,785 Browns Line #603,M8W3V8,Toronto,43.6879,-79.547585,399000,1,2,CONDO
41,1 King St W #2002,M5H1A1,Toronto,43.648827,-79.3781,399000,1,0,CONDO
42,340 Dixon Rd #1209,M9R1T1,Toronto,43.695618,-79.553856,399800,1,2,CONDO
43,3237 Bayview Ave #505,M2K0G1,Toronto,43.7912,-79.3928,399900,1,1,CONDO
44,49 E Liberty St #2609,M6K0A7,Toronto,43.638775,-79.41172,399999,1,1,CONDO
45,1 King St W #1118,M5H1A1,Toronto,43.648827,-79.3781,405000,1,1,CONDO
46,3625 Lake Shore Blvd W #202,M8W4W2,Toronto,43.59323,-79.53615,435000,1,3,CONDO
47,575 Avenue Rd #904,M4V2K2,Toronto,,,439900,1,1,CONDO
48,800 Kennedy Rd #605,M1K2C9,Toronto,43.733185,-79.26924,445000,1,2,CONDO
49,51 E Liberty St #205,M6K,Toronto,43.638138,-79.42845,449000,1,0,CONDO
50,370 Dixon Rd #1006,M9R1T2,Toronto,43.695915,-79.55616,449000,1,2,CONDO
51,8 McKee Ave #1008,M2N7E5,Toronto,43.77339,-79.4134,449900,2,3,CONDO
52,735 Don Mills Rd #2505,M3C1S9,Toronto,43.711655,-79.33481,449900,1,1,CONDO
53,234 Albion Rd #503,M9W6A5,Toronto,43.72163,-79.543816,449900,2,3,CONDO
54,600 Queens Quay W #215,M5V3M3,Toronto,43.63681,-79.397514,449900,1,1,CONDO
55,5 Frith Rd #804,M3N2L5,Toronto,43.745888,-79.515816,449900,1,1,CONDO
56,50 Ordnance St #2308,M6K0C9,Toronto,43.63979,-79.4984,459000,1,0,CONDO
57,225 Sumach St #504W,M5A0P8,Toronto,43.6617,-79.3635,469000,1,1,CONDO
58,715 Don Mills Rd #1,M3C1S5,Toronto,43.7174,-79.33373,469900,1,1,CONDO
59,345 Driftwood Ave #905,M3N2P4,Toronto,43.767612,-79.512215,469900,1,2,CONDO
60,4 Park Vis #302,M4B3M8,Toronto,43.697975,-79.299355,469900,1,1,CONDO
61,775 King St W #221,M5V2K3,Toronto,43.64313,-79.4624,475000,1,2,TOWNHOUSE
62,4060 Lawrence Ave E #109,M1E4V4,Toronto,43.76626,-79.19796,479000,2,4,TOWNHOUSE
63,1 Massey Sq #1112,M4C5L4,Toronto,,,479900,1,1,CONDO
64,255 Richmond St E PENTHOUSE 6,M5A4T7,Toronto,43.652912,-79.3735,482000,1,0,CONDO
65,80 Grandravine Dr #509,M3J1B2,Toronto,43.75324,-79.4993,488000,2,3,CONDO
66,320 Dixon Rd #715,M9R1S8,Toronto,,,489000,2,3,CONDO
67,10 Eddystone Ave #156,M3N2T2,Toronto,43.74954,-79.517136,489900,2,4,TOWNHOUSE
68,30 Meadowglen Pl #303,M1G2V6,Toronto,,,493500,1,1,CONDO
69,1 Hickory Tree Rd #2007,M9N3W4,Toronto,,,498000,1,1,CONDO
70,3077 Weston Rd #1501,M9M3A1,Toronto,43.732376,-79.53698,498888,1,1,CONDO
71,3231 Eglinton Ave E #808B,M1J3N5,Toronto,,,499000,2,2,CONDO
72,5229 Dundas St W #1809,M9B6L9,Toronto,,,499000,1,1,CONDO
73,275 Yorkland Rd #1504,M2J0B4,Toronto,43.77483,-79.33691,499000,1,1,CONDO
74,778 Sheppard Ave W #501,M3H6B7,Toronto,43.753742,-79.448395,499000,2,2,CONDO
75,335 Lonsdale Rd #104,M5P1R4,Toronto,43.68828,-79.41355,499000,1,1,CONDO
76,60 Brian Harrison Way #3306,M1P5J5,Toronto,43.77433,-79.2581,499000,1,1,CONDO
77,2645 Kipling Ave #404,M9V3S6,Toronto,43.74747,-79.58333,499000,2,2,CONDO
78,111 Elizabeth St #1651,M5G1P7,Toronto,43.654842,-79.38468,499000,1,0,CONDO
79,301 Prudential Dr #1002,M1P4V3,Toronto,43.749928,-79.26863,499000,1,2,CONDO
80,3233 Eglinton Ave E #1112,M1J3N6,Toronto,43.74371,-79.2135,499000,1,1,CONDO
81,1837 Eglinton Ave E #227,M4A2Y4,Toronto,43.72432,-79.3328,499900,2,1,TOWNHOUSE
82,410 Queens Quay W #513,M5V3T1,Toronto,43.638134,-79.39147,499900,1,1,CONDO
83,1250 Bridletowne Cir #1006,M1W2V1,Toronto,43.79448,-79.31232,499900,1,2,CONDO
84,235 Grandravine Dr #702,M3N1J2,Toronto,43.74851,-79.559,499988,1,2,APARTMENT
85,410 McLevin Ave #612,M1B5J5,Toronto,,,499990,1,1,CONDO
86,5 Soudan Ave #923,M4S0B1,Toronto,43.7423,-79.39735,499999,1,1,CONDO
87,3 Marine Parade Dr UNIT 508,M8V3Z5,Toronto,43.63234,-79.47622,523500,2,2,CONDO
88,783 Bathurst St #304,M5S0A8,Toronto,43.664516,-79.4158,529000,1,0,CONDO
89,22 Leader Ln UNIT 316,M5E0B2,Toronto,43.649258,-79.37576,529000,1,1,CONDO
90,50 Grandravine Dr #2,M3J1B1,Toronto,43.75336,-79.48941,529900,3,3,TOWNHOUSE
91,28 Rexdale Blvd #43,M9W5Z3,Toronto,43.714233,-79.55794,535000,2,2,TOWNHOUSE
92,6 Eva Rd #1407,M9C0B1,Toronto,43.64415,-79.5639,539000,2,2,CONDO
93,15 Vicora Linkway #915,M3C1A9,Toronto,43.7193,-79.32513,539900,1,2,CONDO
94,185 Legion Rd N #2110,M8Y0A1,Toronto,43.624832,-79.488785,539900,1,1,CONDO
95,1 Neighbourhood Ln #101,M8Y0C2,Toronto,43.637733,-79.48798,539900,1,1,CONDO
96,630 Greenwood Ave #214,M4J0A8,Toronto,43.681126,-79.332436,549900,1,1,CONDO
97,210 Victoria St UNIT 3910,M5B2R3,Toronto,43.654713,-79.3792,549900,1,1,CONDO
98,20 Gilder Dr #206,M1K5E1,Toronto,43.73658,-79.257835,549900,2,3,CONDO
99,2 Eva Rd #2121,M9C0A9,Toronto,43.64327,-79.56238,549999,1,1,CONDO
