no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
0,5 Buttermill Ave #2605,L4K4Z4,Vaughan,,,1,2,2,CONDO
1,9245 Jane St,L6A0J9,Vaughan,43.833122,-79.531494,25000,0,0,CONDO
2,88 Avenue,L4J3M9,Thornhill,43.87636,-79.4667,88888,2,2,CONDO
3,950 Portage Pkwy #4910,L4K4Z4,Vaughan,43.79781,-79.5288,530000,1,1,CONDO
4,2908 Highway 7 Rd #615,L4K1W8,Vaughan,43.796593,-79.52584,539000,1,1,CONDO
5,950 Portage Pkwy #5810,L4K4Z4,Vaughan,43.79781,-79.5288,545000,1,1,CONDO
6,2908 Highway 7 Rd #1409,L4K1W8,Vaughan,43.796593,-79.52584,549000,1,1,CONDO
7,5 Buttermill Ave #603,L4K4Z4,Vaughan,43.79686,-79.52934,549900,1,1,CONDO
8,5 Emerald Ln #406,L4J8P7,Vaughan,43.794178,-79.4398,569000,1,1,CONDO
9,5 Buttermill Ave #803,L4K4Z4,Vaughan,,,569999,1,1,CONDO
10,950 Portage Pkwy #2601,L4K4Z4,Vaughan,,,579000,1,1,CONDO
11,85 N Park Rd #701,L4J0H9,Vaughan,43.811897,-79.45624,588800,1,1,CONDO
12,2910 Highway 7 Rd #2604,L4K0H8,Vaughan,43.795464,-79.52392,599000,2,1,CONDO
13,3600 Highway 7 Rd #314,L4L0G7,Vaughan,43.79154,-79.54597,599000,1,1,CONDO
14,151 Townsgate Dr #26,L4J8J7,Vaughan,43.794888,-79.4475,599900,2,2,TOWNHOUSE
15,7730 Kipling Ave #213,L4L1Y9,Vaughan,43.778248,-79.59758,599999,2,2,CONDO
16,50 Disera Dr #114,L4J9E9,Vaughan,43.812553,-79.45449,619000,1,1,CONDO
17,9225 Jane St #202,L6A0J7,Vaughan,,,619900,1,1,CONDO
18,950 Portage Pkwy #4903,L4K4Z4,Vaughan,,,624900,2,2,CONDO
19,5 Buttermill Ave #3707,L4K4Z4,Vaughan,43.79686,-79.52934,644900,2,2,CONDO
20,9085 Jane St #708,L4K4L8,Vaughan,43.812286,-79.52852,649000,1,1,CONDO
21,15 N Park Rd #1202,L4J0A1,Vaughan,43.812553,-79.452965,649000,2,2,CONDO
22,850 Steeles Ave W #906,L4J8E7,Vaughan,43.7923,-79.4498,649000,2,2,CONDO
23,2916 State Highway 7 Rd #411,L4K0K6,Vaughan,43.79646,-79.52153,651900,1,1,CONDO
24,5 Buttermill Ave #3010,L4K4Z4,Vaughan,,,669000,2,2,CONDO
25,3700 Highway 7 #710,L4L0G8,Vaughan,43.7926,-79.5477,669900,1,1,CONDO
26,9235 Jane St #1104,L6A0J8,Vaughan,43.83357,-79.53241,669900,1,1,CONDO
27,9075 Jane St #1904,L6A4H9,Vaughan,43.812286,-79.52852,675000,2,2,CONDO
28,7460 Bathurst St #508,L4J7K9,Vaughan,43.85485,-79.44951,679000,2,2,CONDO
29,9075 Jane St #402,L6A4H9,Vaughan,43.836987,-79.53384,688888,2,1,CONDO
30,7440 Bathurst St #808,L4J7K8,Vaughan,43.84237,-79.44971,689000,2,2,CONDO
31,7 Brighton Pl #6,L4J0H1,Vaughan,43.79524,-79.43834,690000,3,4,TOWNHOUSE
32,99 Eagle Rock Way #817,L6A5A7,Vaughan,43.8627,-79.5441,699000,1,1,CONDO
33,30 N Park Rd #1110,L4J0G6,Vaughan,43.812973,-79.455185,699000,2,1,CONDO
34,11 Townsgate Dr #1001,L4J8G4,Vaughan,,,699000,2,2,CONDO
35,2916 Highway 7 Rd #303,L4K0G3,Vaughan,43.79646,-79.52153,699888,2,2,CONDO
36,7420 Bathurst St #214,L4J6X4,Vaughan,43.8365,-79.4555,699900,2,2,CONDO
37,9245 Jane St #906,L6A0J9,Vaughan,,,699900,2,1,CONDO
38,9075 Jane St #1004,L4K4L8,Vaughan,43.812286,-79.52852,700000,2,2,CONDO
39,9075 Jane St #516,L4K4L8,Vaughan,43.812286,-79.52852,708800,2,2,CONDO
40,15 N Park Rd #808,L4J0A1,Vaughan,43.812553,-79.452965,715000,2,1,CONDO
41,7900 Bathurst St #1219,L4J0J9,Vaughan,43.8141,-79.45148,719000,1,1,CONDO
42,7420 Bathurst St #1603,L4J6X4,Vaughan,,,749900,2,2,CONDO
43,3865 Major Mackenzie Dr W #216,L4H4P4,Vaughan,43.843796,-79.564255,749900,3,2,CONDO
44,4800 Highway 7 Rd #316,L4L1H8,Vaughan,,,759900,2,2,CONDO
45,7460 Bathurst St #1209,L4J7K9,Vaughan,43.85485,-79.44951,759900,2,2,CONDO
46,7 N Park Rd #1908,L4J0C9,Vaughan,43.81272,-79.4579,765000,2,2,CONDO
47,2908 Highway 7 Rd #1803,L4K1W8,Vaughan,43.796593,-79.52584,777777,2,2,CONDO
48,59 City Park Cir,L4L0H2,Vaughan,43.79813,-79.6124,780000,4,3,TOWNHOUSE
49,100 Arbors Ln #209,L4L7G4,Vaughan,,,798800,2,2,CONDO
50,8960 Jane St #1202,L4K2M9,Vaughan,,,799000,2,2,CONDO
51,88 Promenade Cir #901,L4J9A4,Vaughan,43.8651,-79.45586,799000,2,2,CONDO
52,15 N Park Rd #202,L4J0A1,Vaughan,43.812553,-79.452965,799000,2,2,CONDO
53,7 Townsgate Dr #611,L4J7Z9,Vaughan,43.79384,-79.44433,799900,2,2,CONDO
54,898 Portage Pkwy #2309,L4K0J6,Vaughan,,,818000,2,2,CONDO
55,18 Clark Ave W #104,L4J8H1,Vaughan,43.88315,-79.42416,828000,2,2,TOWNHOUSE
56,20 N Park Rd #802,L4J0G7,Vaughan,43.81312,-79.45453,845000,2,2,CONDO
57,110 Promenade Cir #1604,L4J7W8,Vaughan,43.8856,-79.45533,848000,2,2,CONDO
58,3865 Major Mackenzie Dr W #201,L4L4P4,Vaughan,43.843716,-79.564224,849900,3,3,CONDO
59,5299 Highway 7 #C202,L4L9H4,Vaughan,43.78838,-79.54376,859999,3,3,TOWNHOUSE
60,75 N Park Rd #1508,L4J0H8,Vaughan,43.81235,-79.455864,875000,2,2,CONDO
61,5289 Highway 7 #D704,L4L1T4,Vaughan,,,878800,2,3,TOWNHOUSE
62,13 Antrin St,L4L0L6,Vaughan,43.76452,-79.59573,899000,2,2,TOWNHOUSE
63,18 Bluenose St,L4L0L7,Vaughan,43.76612,-79.595215,899000,2,2,TOWNHOUSE
64,9621 Jane St W #2,L6A4G5,Vaughan,43.84195,-79.53462,925000,2,2,TOWNHOUSE
65,7601 Bathurst St #1009,L4J4H5,Vaughan,,,925000,2,2,CONDO
66,735 New Westminster Dr #14,L4J7Y9,Vaughan,43.87613,-79.45592,929000,4,3,TOWNHOUSE
67,66 William St,L4L2R8,Vaughan,,,939000,2,3,SINGLE_FAMILY
68,151 Townsgate Dr #62,L4J8J7,Vaughan,43.794888,-79.4475,939900,3,3,TOWNHOUSE
